objectid,parentid,filename,title,creator,description,date,subject,location,latitude,longitude,format,type,image_thumb,image_small,object_location,source,identifier,language,rights,rightsstatement,collection
sns_1938_strings_pr,,sns_1938_strings_pr.pdf,"Program for No Strings, 1938",Scotch'n'Soda Theatre,,1938,Program,,,,application/pdf,Text,objects/thumbs/sns_1938_strings_pr_th.jpg,objects/small/sns_1938_strings_pr_sm.jpg,/objects/sns_1938_strings_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1939_take_pr,,sns_1939_take_pr.pdf,"Program for Take It Straight, 1939",Scotch'n'Soda Theatre,,1939,Program,,,,application/pdf,Text,objects/thumbs/sns_1939_take_pr_th.jpg,objects/small/sns_1939_take_pr_sm.jpg,/objects/sns_1939_take_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1940_one_pr,,sns_1940_one_pr.pdf,"Program for One on the House, 1940",Scotch'n'Soda Theatre,,1940,Program,,,,application/pdf,Text,objects/thumbs/sns_1940_one_pr_th.jpg,objects/small/sns_1940_one_pr_sm.jpg,/objects/sns_1940_one_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1941_heres_pr,,sns_1941_heres_pr.pdf,"Program for Here's To You, 1941",Scotch'n'Soda Theatre,,1941,Program,,,,application/pdf,Text,objects/thumbs/sns_1941_heres_pr_th.jpg,objects/small/sns_1941_heres_pr_sm.jpg,/objects/sns_1941_heres_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1942_keep_pr,,sns_1942_keep_pr.pdf,"Program for Keep 'Em Laffin, 1942",Scotch'n'Soda Theatre,,1942,Program,,,,application/pdf,Text,objects/thumbs/sns_1942_keep_pr_th.jpg,objects/small/sns_1942_keep_pr_sm.jpg,/objects/sns_1942_keep_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1947_rock_pr,,sns_1947_rock_pr.pdf,"Program for Rock'n'Riot, 1947",Scotch'n'Soda Theatre,,1947,Program,,,,application/pdf,Text,objects/thumbs/sns_1947_rock_pr_th.jpg,objects/small/sns_1947_rock_pr_sm.jpg,/objects/sns_1947_rock_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1948_ladys_pr,,sns_1948_ladys_pr.pdf,"Program for The Lady's At Work, 1948",Scotch'n'Soda Theatre,,1948,Program,,,,application/pdf,Text,objects/thumbs/sns_1948_ladys_pr_th.jpg,objects/small/sns_1948_ladys_pr_sm.jpg,/objects/sns_1948_ladys_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1948_ladys_hb,,sns_1948_ladys_hb.pdf,"Handbill for The Lady's At Work, 1948",Scotch'n'Soda Theatre,,1948,Handbill,,,,application/pdf,Text,objects/thumbs/sns_1948_ladys_hb_th.jpg,objects/small/sns_1948_ladys_hb_sm.jpg,/objects/sns_1948_ladys_hb.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1949_molecule_mb,,sns_1949_molecule_mb.pdf,"Matchbook for Molecule Man, 1949",Scotch'n'Soda Theatre,,1949,Matchbook,,,,application/pdf,Text,objects/thumbs/sns_1949_molecule_mb_th.jpg,objects/small/sns_1949_molecule_mb_sm.jpg,/objects/sns_1949_molecule_mb.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1949_molecule_pr,,sns_1949_molecule_pr.pdf,"Program for Molecule Man, 1949",Scotch'n'Soda Theatre,,1949,Program,,,,application/pdf,Text,objects/thumbs/sns_1949_molecule_pr_th.jpg,objects/small/sns_1949_molecule_pr_sm.jpg,/objects/sns_1949_molecule_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1949_molecule_hb,,sns_1949_molecule_hb.pdf,"Handbill for Molecule Man, 1949",Scotch'n'Soda Theatre,,1949,Handbill,,,,application/pdf,Text,objects/thumbs/sns_1949_molecule_hb_th.jpg,objects/small/sns_1949_molecule_hb_sm.jpg,/objects/sns_1949_molecule_hb.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1950_too_pr,,sns_1950_too_pr.pdf,"Program for Too Much, 1950",Scotch'n'Soda Theatre,,1950,Program,,,,application/pdf,Text,objects/thumbs/sns_1950_too_pr_th.jpg,objects/small/sns_1950_too_pr_sm.jpg,/objects/sns_1950_too_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
sns_1951_merry_pr,,sns_1951_merry_pr.pdf,"Program for A Merry Chase, 1951",Scotch'n'Soda Theatre,,1951,Program,,,,application/pdf,Text,objects/thumbs/sns_1951_merry_pr_th.jpg,objects/small/sns_1951_merry_pr_sm.jpg,/objects/sns_1951_merry_pr.pdf,Carnegie Mellon University Archives,,,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/,Scotch'n'Soda Records
